CHARTER NAME,CDN,TYPE,RECEIVED DATE,DECISION DATE,STATUS,AMENDMENT #,ITEM #,DESCRIPTION,EFFECTIVE DATE,SUBCHAPTER E
A+ UNLIMITED POTENTIAL,'101871,ADDITIONAL SITE/CAMPUS REQUEST,2023-03-01,4/10/2023,Approved,080-23,1.0,"add a campus to be called A+UP High School to be located at 2410 Hamilton Street, Houston, Texas 77004, to serve students in grades nine (9) through twelve (12), effective August 1, 2024",8/ 1/2024,No
A+ UNLIMITED POTENTIAL,'101871,GRADE LEVEL CHANGE,2023-03-01,4/10/2023,Approved,080-23,2.0,"add grades nine (9) through twelve (12) to the charter school’s approved grade levels, effective August 1, 2024",8/ 1/2024,No
ACADEMY OF HOUSTON,'101808,NEW SCHOOL OR HIGH QUALITY ,2023-02-02,,Process,036-23,1.0,,,No
ACADEMY OF VISUAL AND PERFORMING ,'220821,CHARTER LANGUAGE,2023-01-11,1/25/2023,Approved,004-23,1.0,"requests to amend its charter to adopt the provisions of Texas Education Code  Chapter 44, Subchapter B, as the charter holder’s process for awarding a contract for the construction, repair, or renovation of a structure, road, highway, or other improvement or addition to real property, effective January 10, 2023",1/10/2023,No
ADVANTAGE ACADEMY,'057806,OTHER,2023-02-06,,Withdrawn,030-23,1.0,"decrease the number of school days per week from five (5) to four (4), effective August 1, 2023",8/ 1/2023,No
ARISTOI CLASSICAL ACADEMY,'101803,START DATE CHANGE - CAMPUS,2023-03-07,4/10/2023,Approved,088-23,1.0,"postpone opening the previously-approved campus Aristoi Classical Academy - Greater Houston (amendments #041-21/1 and #075-22/1) from the 2023-2024 school year to the 2024-2025 school year, effective March 6, 2023",3/ 6/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,ADDRESS CHANGE - CAMPUS - ,2023-02-15,3/23/2023,Approved,044-23,2.0,"relocate campus #227-8258-005, Austin Achieve Parmer, from 7424 East Highway 290, Building 1, Austin, Texas 78723 to 1900 Pfennig Lane, Pflugerville, Texas 78660, effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,NAME CHANGE - CAMPUS,2023-02-15,3/23/2023,Approved,044-23,3.0,"change the name of campus #227-825-005 from Austin Achieve Parmer to Austin Achieve Pflugerville Elementary, effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-27,3/20/2023,Denied,066-23,1.0,"add a campus to be called Austin Achieve Pflugerville Middle, to be located at 1900 East Pfennig Lane, Pflugerville, TX 78660, to serve students in grades five (5) through eight (8), effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,NAME CHANGE - CAMPUS,2023-02-15,3/23/2023,Approved,044-23,1.0,"change the name of campus #227-825-003 from Austin Achieve Elementary School to Austin Achieve Northeast Elementary, effective July 1, 2023",7/ 1/2023,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,1.0,"to add a campus to be called Basis Leander Primary, to be located at a location to be determined, in Leander, Texas, to serve students in Kindergarten through grade five (5), effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,START DATE CHANGE - CAMPUS,2023-05-22,5/31/2023,Approved,122-23,2.0,"postpone opening the previously-approved campus to be located in the Irving area (#002-22.6), to serve students in kindergarten through five (5), from July 1, 2024 to July 1, 2025, effective May 22, 2023",7/ 1/2025,No
BASIS TEXAS,'015834,NEW SCHOOL OR HIGH QUALITY ,2023-02-24,3/15/2023,Approved,063-23,1.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under the school’s existing open-enrollment charter, Basis Leander Primary, to be located at an address to be determined in Leander, Texas, to serve students Kindergarten through grade five (5), to be paired with expansion amendment #062-23.1, effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,OTHER,2023-05-23,5/31/2023,Approved,123-23,1.0,"requests approval of the services agreement contract between BASIS Texas Charter Schools, Inc. and Basis Educational Group, LLC (d/b/a Basis,Ed) effective May 22, 2023",5/22/2023,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,2.0,"to add a campus to be called Basis Leander, to be located at a location to be determined, in Leander, Texas to serve students in grades six (6) through twelve (12), effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,NEW SCHOOL OR HIGH QUALITY ,2023-02-24,3/15/2023,Approved,063-23,2.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under the school’s existing open-enrollment charter, Basis Leander, to be located at an address to be determined in Leander, Texas, to serve students in grades six (6) through twelve (12), to be paired with expansion amendment #062-23.2, effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,START DATE CHANGE - CAMPUS,2023-05-22,5/31/2023,Approved,122-23,1.0,"postpone opening the previously-approved campus to be located in the Irving area (#002-22.5), to serve students in grades six (6) through twelve (12), from July 1, 2024 to July 1, 2025, effective May 22, 2023",5/22/2023,No
BETTY M. CONDRA SCHOOL FOR EDUCATION ,'152806,NAME CHANGE - CAMPUS,2023-02-06,2/22/2023,Approved,031-23,2.0,"change the name of campus #152-806-001 from Elementary School for Education Innovation to Betty M. Condra School for Education Innovation, effective January 27, 2023",1/27/2023,No
BETTY M. CONDRA SCHOOL FOR EDUCATION ,'152806,ADDRESS CHANGE - CAMPUS - ,2023-02-06,2/22/2023,Approved,031-23,1.0,"relocate campus #152-806-001, Elementary School for Education Innovation, from 1500 14th Street, Lubbock, Texas 79401 to 1421 9th Street, Lubbock, Texas 79401, effective January 27, 2023",1/27/2023,No
BOB HOPE SCHOOL,'123807,CURRICULAR RELATED,2023-04-20,4/26/2023,Approved,105-23,1.0,"revise the charter school’s education plan to remove dual language instruction in middle school and high school grades, effective July 1, 2023",7/ 1/2023,No
BOB HOPE SCHOOL,'123807,GEOGRAPHIC BOUNDARY - ADD,2023-01-23,2/22/2023,Approved,011-23,1.0,"add La Porte ISD to the charter school’s geographic area effective March 1, 2023",3/ 1/2023,No
BRIDGEWAY PREPARATORY ACADEMY,'057851,GRADE LEVEL CHANGE,2023-02-27,4/10/2023,Approved,065-23,1.0,"add grades six (6) through eight (8) to the charter school’s approved grade levels, effective July 1, 2023",7/ 1/2023,No
BRILLANTE ACADEMY,'108810,OTHER,2023-05-25,5/31/2023,Approved,124-23,1.0,increase the school's prekindergarten four-year-olds (PreK4) program from half-day to full-day,8/14/2023,No
BRILLANTE ACADEMY,'108810,GRADE LEVEL CHANGE,2023-03-01,5/31/2023,Approved,082-23,1.0,"add prekindergarten three-year-olds (Early Education) to the charter school’s approved grade levels, effective August 14, 2023",8/14/2023,No
CEDARS INTERNATIONAL ACADEMY,'227817,GEOGRAPHIC BOUNDARY - ADD,2023-06-22,6/30/2023,Approved,142-23,1.0,"add Smithville ISD to the charter school’s geographic area effective April 1, 2023",4/ 1/2023,No
CHAPEL HILL ACADEMY,'220815,CLOSE CAMPUS - RETURN SITE,2023-07-20,7/20/2023,Approved,151-23,1.0,Site closed per school's 2023 renewal contract.-jsk,7/20/2023,No
CHAPEL HILL ACADEMY,'220815,CLOSE CAMPUS - RETURN SITE,2023-07-20,7/20/2023,Approved,151-23,2.0,Site closed per school's 2023 renewal contract.-jsk,7/20/2023,No
COMPASS ROSE PUBLIC SCHOOLS,'015838,START DATE CHANGE - CAMPUS,2023-08-01,,Process,160-23,2.0,"postpone opening the previously-approved campus Compass Rose Venture to be located in the Del Valley/Montopolis area from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2024",8/ 1/2024,No
COMPASS ROSE PUBLIC SCHOOLS,'015838,START DATE CHANGE - CAMPUS,2023-08-01,,Process,160-23,1.0,"postpone opening the previously-approved campus Compass Rose Opportunity to be located at or around 705 Hammond Road, San Antonio, Texas 78210 from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2024",8/ 1/2024,No
COMQUEST ACADEMY,'101842,CLOSE CAMPUS - RETURN SITE,2023-07-21,7/21/2023,Approved,152-23,1.0,Site closed through 2023 renewal contract-jsk,7/21/2023,No
COMQUEST ACADEMY,'101842,CLOSE CAMPUS - RETURN SITE,2023-07-21,7/21/2023,Approved,152-23,2.0,Site closed through 2023 renewal contract - jsk,7/21/2023,No
EHRHART SCHOOL,'123805,GRADE LEVEL CHANGE,2023-02-28,4/ 5/2023,Approved,071-23,1.0,"to add grades nine (9) through twelve (12) to the charter school’s approved grade levels, effective August 1, 2024",8/ 1/2024,No
ETOILE ACADEMY CHARTER SCHOOL,'101872,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-27,3/29/2023,Approved,069-23,1.0,"add a campus to be called Etoile Academy Charter School (Beechnut), to be located at 9724 Beechnut, Houston, Texas, to serve students in Kindergarten through grade eight (8), effective August 1, 2024; and",8/ 1/2024,No
ETOILE ACADEMY CHARTER SCHOOL,'101872,GEOGRAPHIC BOUNDARY - ADD,2023-02-27,3/29/2023,Approved,069-23,2.0,"add Katy ISD to the charter’s geographic boundaries, effective August 1, 2024",8/ 1/2023,No
ETOILE ACADEMY CHARTER SCHOOL,'101872,BOARD RELATED/BYLAWS,2023-07-31,8/ 3/2023,Approved,159-23,1.0,"adopt the amended and restated bylaws, effective July 27, 2023",7/27/2023,No
ETOILE ACADEMY CHARTER SCHOOL,'101872,BOARD RELATED/BYLAWS,2023-02-15,2/22/2023,Approved,043-23,1.0,"to adopt the amended and restated bylaws, effective December 15, 2022",12/15/2022,No
EXCEL ACADEMY,'101811,NAME CHANGE - CAMPUS,2023-05-03,5/12/2023,Approved,111-23,1.0,"change the name of campus number 101811 to The Opportunity Center, effective May 1, 2023",5/ 1/2023,No
FAITH FAMILY ACADEMY,'070801,NAME CHANGE - CHARTER,2023-01-27,3/16/2023,Approved,034-23,1.0,"change the charter name (070801) from Waxahachie Faith Family Academy to Faith Family Academy, effective February 1, 2023",2/ 1/2023,No
GEORGE I SANCHEZ CHARTER,'101804,ADDRESS CHANGE - CAMPUS - ,2023-05-12,5/24/2023,Approved,115-23,1.0,"relocate CDCN #101804-004, George I. Sanchez North, from 215 Rittenhouse Street, Houston, Texas 77076 to 170 Rittenhouse Street, Houston, Texas 77076, effective August 28, 2023",8/28/2023,No
GEORGE I SANCHEZ CHARTER,'101804,ADDITIONAL SITE/CAMPUS REQUEST,2023-07-31,8/ 3/2023,Approved,157-23,1.0,"add two sites under campus 101804-004, to be located at 1647 Candytuft Court, Houston, Texas 77038 and 7722 Van Ness Street Houston, Texas 77037 to serve students in Pre-kindergarten three-year-olds through Pre-Kindergarten four-year-olds, effective August 28, 2023",8/28/2023,No
GEORGE I SANCHEZ CHARTER,'101804,ENROLLMENT CHANGE,2023-02-02,3/15/2023,Approved,070-23,2.0,"increase the maximum student enrollment from 1,450 to 2,400 effective July 1, 2023",7/ 1/2023,No
GEORGE I SANCHEZ CHARTER,'101804,GRADE LEVEL CHANGE,2023-02-28,3/15/2023,Approved,070-23,1.0,"add Kindergarten through grade four (4) to the charter school’s approved grade levels, effective July 1, 2023",7/ 1/2023,No
GOLDEN RULE CHARTER SCHOOL,'057835,NAME CHANGE - CHARTER,2023-03-21,4/19/2023,Process,097-23,1.0,"to change the charter name from Golden Rule Charter School to Golden Rule Illinois, effective December 13, 2022",12/13/2022,No
GOLDEN RULE CHARTER SCHOOL,'057835,NAME CHANGE - CAMPUS,2023-03-21,4/19/2023,Process,097-23,2.0,"to change the charter name of campus 057835-101 from Golden Rule to Golden Rule Sunnyside, effective December 13, 2022",12/13/2022,No
GOLDEN RULE CHARTER SCHOOL,'057835,NAME CHANGE - CAMPUS,2023-03-21,4/19/2023,Process,097-23,3.0,"to change the charter name of campus 057835-103 from Golden Rule Southwest to Golden Rule Pleasant Grove, effective December 13, 2022",12/13/2022,No
GOODWATER MONTESSORI SCHOOL,'246802,BOARD RELATED/BYLAWS,2023-03-01,3/29/2023,Approved,079-23,1.0,"to adopt the amended and restated bylaws, effective April 1, 2023",4/ 1/2023,No
GREAT HEARTS TEXAS,'015835,START DATE CHANGE - CAMPUS,2023-06-13,6/30/2023,Approved,136-23,1.0,"postpone the opening of campus approved in #034-21.4, to be called Tarrant County #4, located in Northeast Tarrant County, from opening in 2023-2024 to opening in 2024-2025, effective July 1, 2023",7/ 1/2023,No
GREAT HEARTS TEXAS,'015835,ENROLLMENT CHANGE,2023-02-24,5/31/2023,Approved,061-23,1.0,"increase the maximum enrollment from 12,328 to 17,880, effective July 1, 2023",7/ 1/2023,No
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,'227816,GEOGRAPHIC BOUNDARY - ADD,2023-01-31,2/22/2023,Approved,023-23,2.0,"add Giddings ISD, Waco ISD, Temple ISD, Wimberly ISD, and Smithville ISD to the charter school’s geographic boundaries effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,'227816,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/22/2023,Approved,023-23,1.0,"add a campus to be named Harmony Science Academy- Georgetown, location to be determined, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,'101858,START DATE CHANGE - CAMPUS,2023-06-22,6/30/2023,Approved,144-23,1.0,"postpone opening the previously-approved 042-22/3 to be located in Houston, Texas from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2023",8/ 1/2024,No
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,'101858,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/23/2023,Approved,028-23,1.0,"to add a add a site under campus 101858010, to be located at 22855 Elyson Fall Drive, Katy, Texas 77449, to serve students in grades six (6) through twelve (12), effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,'101858,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/23/2023,Approved,028-23,2.0,"add a campus to be called Harmony Science Academy - City Place, to be located at an address to be determined in City Place, Texas, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,'101858,GEOGRAPHIC BOUNDARY - ADD,2023-01-31,2/23/2023,Approved,028-23,3.0,"to add Crosby ISD to the charter school’s geographic area effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,'101846,GEOGRAPHIC BOUNDARY - ADD,2023-01-31,,Withdrawn,025-23,1.0,,8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,'101862,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,3/ 3/2023,Approved,026-23,1.0,"add a site under campus CDCN 101862-004 to be located at 6490 Phelan Boulevard, Beaumont, Texas 77706, to serve students in grades eight (8) through twelve (12), effective August 1, 2024",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,'161807,START DATE CHANGE - CAMPUS,2023-01-30,2/ 8/2023,Approved,013-23,1.0,"postpone opening the previously approved site under campus #161-807-007 Harmony Science Academy - Fort Worth (expansion #039-22.2) from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2024",5/31/2024,No
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,'161807,GEOGRAPHIC BOUNDARY - ADD,2023-01-31,2/23/2023,Approved,027-23,1.0,"add Boles ISD, Boyd ISD, Decatur ISD, Ferris ISD, Glen Rose ISD, Kauffman ISD, Lipan ISD, Paradise ISD, Poolville ISD, Quinlan ISD, and Tolar ISD to the charter school’s geographic area effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - WEST TEXAS,'071806,GEOGRAPHIC BOUNDARY - ADD,2023-01-31,2/22/2023,Approved,024-23,2.0,"add Kermit ISD, Stanton ISD, Andrews ISD, Grady ISD, Monahans ISD, Smyer ISD, Anton ISD, New Home ISD, Brownfield ISD, Levelland ISD, Meadow ISD, and Sundown ISD to the charter school’s geographic boundaries effective August 1, 2023.",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - WEST TEXAS,'071806,ADDITIONAL SITE/CAMPUS REQUEST,2023-05-01,5/12/2023,Approved,108-23,1.0,"add a campus to be named Harmony Science Academy- Midland in Midland, Texas, location to be determined, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2024",8/ 1/2024,No
HARMONY PUBLIC SCHOOLS - WEST TEXAS,'071806,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/22/2023,Approved,024-23,1.0,"add a site under campus CDCN 071806-002 to be located at 10405 Dyer Street, El Paso, Texas 79924, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
HIGH POINT ACADEMY,'220819,CHARTER CLOSURE,2023-05-22,5/24/2023,Approved,121-23,1.0,"permanently close High Point Academy CDN #220819 and relinquish the charter held by FIAFW, INC., effective June 30, 2023 according to applicable closure procedures",6/30/2023,No
HORIZON MONTESSORI PUBLIC SCHOOLS,'108802,OTHER,2023-02-21,3/22/2023,Denied,093-23,1.0,"add grades nine (9) through twelve (12) to Horizon Montessori Pearland- STEM Academy, CDCN 108802-104, effective August 1, 2023",8/ 1/2024,No
HOUSTON CLASSICAL CHARTER SCHOOL,'101878,GRADE LEVEL CHANGE,2023-02-28,5/29/2023,Approved,101-23,1.0,"to add Pre-Kindergarten four-year olds to the charter school’s approved grade levels, effective July 1, 2023",7/ 1/2023,No
HOUSTON CLASSICAL CHARTER SCHOOL,'101878,ENROLLMENT CHANGE,2023-02-28,5/29/2023,Denied,101-23,3.0,"increase the maximum student enrollment from 675 to 950, effective July 1, 2023",7/ 1/2023,No
HOUSTON CLASSICAL CHARTER SCHOOL,'101878,GEOGRAPHIC BOUNDARY - ADD,2023-02-28,5/29/2023,Approved,101-23,2.0,"add Alvin ISD, Cypress-Fairbanks ISD, Katy ISD, Lamar ISD, and Spring Branch ISD to the charter’s geographic boundaries, effective July 1, 2023",7/ 1/2023,No
IDEA PUBLIC SCHOOLS,'108807,NAME CHANGE - CAMPUS,2023-05-26,8/ 9/2023,Process,164-23,2.0,"change the name of campus 108807-208 from IDEA Yukon College Preparatory to IDEA Lamesa, effective July 1, 2023",7/ 1/2023,No
IDEA PUBLIC SCHOOLS,'108807,ADDRESS CHANGE - CAMPUS - ,2023-05-24,8/ 9/2023,Process,163-23,1.0,"relocate campus 108807-106, IDEA Academy San Juan, from 200 N. Nebraska Avenue, San Juan, Texas 78589 to 600 E. Sioux Road, San Juan, Texas 78589, effective July 1, 2023",7/ 1/2023,No
IDEA PUBLIC SCHOOLS,'108807,BOARD RELATED/BYLAWS,2023-01-31,,Process,021-23,1.0," to adopt the revised organization chart, effective November 1, 2022",1/20/2023,No
IDEA PUBLIC SCHOOLS,'108807,OTHER,2023-05-26,8/ 9/2023,Process,165-23,2.0,"add grades six (6) through (12) to IDEA Yukon Academy, campus 108807-308, effective July 1, 2023",7/ 1/2023,No
IDEA PUBLIC SCHOOLS,'108807,NAME CHANGE - CAMPUS,2023-05-26,8/ 9/2023,Process,165-23,1.0,"change the name of campus 108807-308 from IDEA Yukon Academy to IDEA Yukon, effective July 1, 2023",7/ 1/2023,No
IDEA PUBLIC SCHOOLS,'108807,ADDRESS CHANGE - CAMPUS - ,2023-05-26,8/ 9/2023,Process,164-23,1.0,"relocate campus 108807-208, IDEA Yukon College Preparatory, from 7300 East Yukon Road, Odessa, Texas 79765 to 2000 Lamesa Drive, Midland, Texas 79701, effective July 1, 2023",7/ 1/2023,No
INSPIRE ACADEMIES,'015808,GEOGRAPHIC BOUNDARY - CLARIFICATIO,2023-01-01,3/14/2023,Approved,092-23,3.0,"remove Denison ISD, Howe ISD, and Sherman ISD from the charter's geographic boundary, effective August 1, 2024",3/14/2023,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-06-02,6/30/2023,Approved,127-23,2.0,"add a campus to be called Innova Mercy Inspire Academy to be located at 215 Kessler Street, New Braunfels 78130, to serve students in grades six (6) through twelve (12), effective August 1, 2023",8/ 1/2023,No
INSPIRE ACADEMIES,'015808,GEOGRAPHIC BOUNDARY - ADD,2023-01-01,3/28/2023,Approved,092-23,4.0,"add Denison ISD, Howe ISD, and Sherman ISD to the charter's geographic boundary, effective August 1, 2024",8/ 1/2024,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-06-02,6/30/2023,Approved,127-23,1.0,"add a campus to be called Innova Joy Inspire Academy to be located at 319 Los Indios Ranch Road, Boerne 78006, to serve students in grades six (6) through twelve (12), effective August 1, 2023",8/ 1/2023,No
INSPIRE ACADEMIES,'015808,ENROLLMENT CHANGE,2023-01-01,3/28/2023,Approved,092-23,2.0,"increase the maximum student enrollment from 1400 to 1650, effective August 1, 2024",8/ 1/2024,No
INSPIRE ACADEMIES,'015808,GEOGRAPHIC BOUNDARY - ADD,2023-06-07,6/30/2023,Approved,127-23,3.0,"add Bandera, Blanco, Boerne, Comal, Comfort, Marion, Navarro, New Braunfels, Seguin, and Schertz-Cibolo-Universal City ISDs to the charter school’s geographic area effective August 1, 2023",8/ 1/2023,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-01,3/28/2023,Approved,092-23,1.0,"add a campus to be called Robert J. Werra Inspire Academy to be located at the southeast corner of I-75 and FM 1417, Sherman, Texas 75090, to serve students in grades K through 12, effective August 1, 2024",8/ 1/2024,No
INSPIRED VISION ACADEMY,'057830,ADDRESS CHANGE - CAMPUS - ,2023-05-03,5/15/2023,Approved,109-23,1.0,"relocate campus #057-830-001, Inspired Vision Academy Elementary School, from 8421 Bohannon Drive, Dallas, Texas 75217 to 7300 Bruton Road, Dallas, Texas 75217, effective May 3, 2023",5/ 3/2023,No
INSPIRED VISION ACADEMY,'057830,ADDRESS CHANGE - CAMPUS - ,2023-07-27,7/27/2023,Approved,156-23,1.0,"relocate a site under campus #057830-001, Inspired Vision Academy Intermediate, from 8301 Bruton Road, Dallas, Texas, 75217 to 7300 Bruton Road, Dallas, Texas, 75217, effective July 27, 2023",7/27/2023,No
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),'057848,GRADE LEVEL CHANGE,2023-05-03,5/24/2023,Approved,110-23,1.0,"add Prekindergarten three-year olds (Early Education) and Prekindergarten four-year olds to the charter's approved grade levels, effective June 1, 2023",6/ 1/2023,No
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),'057848,START DATE CHANGE - CAMPUS,2023-04-26,5/12/2023,Approved,106-23,1.0,"postpone the start date for campus #057840-035, Richmond ES, from August 1, 2023 to August 1, 2024, effective May 1, 2023",5/ 1/2023,No
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),'057848,START DATE CHANGE - CAMPUS,2023-04-26,5/12/2023,Approved,106-23,2.0,"postpone the start date for campus #057840-03, Richmond MS, from August 1, 2023 to August 1, 2024, effective May 1, 2023",5/ 1/2023,No
